Time,Channel 1,Channel 2,Channel 3,Channel 4
23980,38,123,70,-104
1935,41,123,70,-104
1456,39,123,70,-105
1337,42,123,70,-104
1340,41,123,70,-104
1350,39,123,70,-104
1344,40,123,70,-104
1338,38,123,70,-105
1336,41,123,70,-105
1338,42,123,70,-104
1342,39,123,70,-105
1339,41,123,70,-104
1339,40,123,70,-105
1352,50,124,70,-103
1338,42,123,71,-101
1340,51,124,70,-100
1338,41,123,70,-104
1339,40,123,70,-104
1356,41,123,70,-104
1344,40,123,70,-103
1335,41,123,70,-104
1338,42,123,70,-104
1339,41,123,70,-104
1342,41,123,70,-104
1339,41,123,70,-103
1345,41,123,70,-104
1404,41,123,70,-104
1340,41,123,70,-104
1341,41,123,70,-103
1334,41,123,70,-102
1340,42,123,70,-102
1342,42,123,70,-102
1345,43,123,70,-102
1338,41,123,69,-102
1360,41,123,70,-103
1335,41,123,69,-103
1338,43,123,70,-103
1340,43,123,70,-103
1344,39,123,70,-103
1339,41,123,70,-104
1338,42,123,70,-103
1337,44,123,70,-103
1346,41,123,70,-103
1339,40,123,70,-103
1333,41,123,70,-104
1341,42,123,70,-104
1338,45,123,69,-104
1338,41,123,70,-103
1339,40,123,70,-104
1336,39,123,70,-104
1349,41,123,70,-104
1346,42,123,70,-104
1337,40,123,70,-104
1338,52,124,70,-99
1338,40,123,69,-105
1339,40,123,69,-105
1337,41,123,69,-104
1337,43,123,70,-104
1365,39,123,70,-104
1338,38,123,69,-105
1336,40,123,69,-104
1339,42,123,69,-104
1336,43,123,70,-103
1339,39,123,70,-104
1346,39,123,69,-104
1336,40,123,69,-104
1346,43,123,69,-104
1339,42,123,70,-104
1337,39,123,70,-103
1341,39,123,69,-104
1337,39,123,69,-104
1345,43,123,69,-104
1337,42,123,70,-104
1336,40,123,69,-103
1384,40,123,69,-103
1337,40,123,69,-104
1339,40,123,69,-103
1344,42,123,70,-104
1338,39,123,69,-103
1336,39,123,69,-103
1339,40,123,69,-104
1339,43,123,70,-104
1346,41,123,70,-103
1336,41,123,69,-102
1347,40,123,70,-103
1338,40,123,69,-103
1339,42,123,70,-103
1341,40,123,70,-103
1339,41,123,70,-102
1339,39,123,69,-103
1364,41,123,69,-103
1339,41,123,69,-103
1337,41,123,70,-102
1339,42,123,69,-102
1338,39,123,69,-102
1340,40,123,69,-102
1337,41,123,70,-102
1344,41,123,70,-102
1344,42,123,70,-102
1336,39,123,69,-101
1342,41,123,69,-102
1339,41,123,69,-102
1338,41,123,70,-102
1342,42,123,70,-102
1336,55,124,70,-95
1339,42,124,70,-100
1372,42,123,70,-103
1338,39,123,69,-104
1340,39,123,69,-104
1343,41,123,69,-104
1338,40,123,70,-104
1336,41,123,69,-104
1337,39,123,70,-105
1336,41,123,69,-105
1356,41,123,69,-103
1338,39,123,69,-104
1345,41,123,70,-104
1337,39,123,70,-105
1340,40,123,70,-105
1336,41,123,70,-105
1337,40,123,70,-104
1339,39,123,70,-104
1344,41,123,70,-105
1346,40,123,70,-105
1340,40,123,70,-105
1340,40,123,70,-104
1335,41,123,70,-104
1339,41,123,70,-105
1338,39,123,70,-105
1345,42,123,70,-105
1358,40,123,70,-104
1337,41,123,70,-104
1335,39,123,70,-104
1337,39,123,70,-105
1340,40,123,70,-104
1337,41,123,70,-104
1343,41,123,70,-104
1336,39,123,70,-105
1344,41,123,70,-104
1337,42,123,69,-104
1339,40,123,69,-103
1337,39,123,69,-105
1346,40,123,70,-104
1343,40,123,70,-105
1338,41,123,70,-104
1338,40,123,69,-102
1383,40,123,69,-102
1337,41,123,69,-103
1343,41,123,70,-102
1336,42,123,69,-102
1336,40,123,70,-102
1338,40,123,69,-102
1337,41,123,69,-102
1338,42,123,70,-103
1344,39,123,70,-102
1346,53,124,70,-97
1338,43,124,70,-100
1338,40,123,69,-103
1339,42,123,70,-103
1337,41,123,70,-103
1338,41,123,69,-102
1337,38,123,69,-103
1356,40,123,69,-103
1334,42,123,69,-104
1337,41,123,70,-103
1339,42,123,69,-103
1338,40,123,69,-103
1337,39,123,69,-104
1346,42,123,69,-104
1339,43,123,69,-104
1356,41,123,70,-103
1339,40,123,69,-103
1338,40,123,69,-104
1338,40,123,69,-104
1339,41,123,70,-104
1344,43,123,70,-103
1342,40,123,70,-103
1339,40,123,70,-103
1345,41,123,70,-81
1336,42,123,70,-82
1340,44,123,70,-79
1342,41,123,70,-76
1339,41,123,70,-66
1334,42,123,70,-64
1335,44,123,70,-61
1339,46,123,70,-51
1377,47,123,70,-46
1344,46,124,70,-44
1341,49,124,70,-44
1338,52,124,70,-36
1338,54,124,70,-38
1337,53,124,70,-21
1342,52,124,70,-10
1338,50,124,71,7
1354,51,124,71,19
1340,50,124,70,28
1340,49,124,70,38
1341,49,124,70,56
1339,50,124,70,77
1346,48,124,70,78
1345,48,124,70,84
1339,49,124,70,97
1358,48,124,70,97
