Time,Channel 1,Channel 2,Channel 3,Channel 4
1339,38,197,70,-105
1350,37,197,69,-103
1338,38,198,69,-104
1339,38,197,69,-104
1337,37,198,69,-105
1339,38,197,69,-105
1338,38,197,69,-104
1347,37,197,69,-105
1337,38,198,69,-104
1374,37,197,69,-105
1338,38,197,69,-105
1337,37,198,69,-105
1338,37,197,69,-105
1337,38,197,70,-83
1345,37,197,70,-62
1339,38,198,69,-28
1337,38,197,69,-24
1345,38,198,69,-13
1337,37,198,69,10
1339,38,197,69,18
1344,38,197,69,32
1340,37,197,69,72
1340,38,198,69,68
1339,37,197,69,65
1338,37,198,69,68
1345,38,197,69,77
1341,37,198,69,70
1343,38,197,70,72
1338,37,198,70,70
1339,37,197,70,80
1335,38,197,69,93
1336,37,198,69,99
1336,38,197,69,97
1391,37,198,70,90
1338,37,197,69,89
1338,38,198,69,88
1338,37,197,70,89
1340,37,198,69,93
1340,38,197,69,96
1339,37,198,69,95
1343,38,197,69,105
1344,37,198,69,98
1336,37,197,69,98
1339,38,197,69,93
1336,37,197,70,97
1341,38,198,69,104
1344,37,198,70,100
1336,37,197,69,99
1336,37,198,69,99
1358,38,198,69,95
1338,37,197,69,101
1339,37,197,69,99
1344,38,198,70,98
1337,37,197,69,99
1341,38,198,69,104
1340,37,197,70,107
1340,37,197,69,105
1343,38,197,70,101
1339,37,198,69,94
1344,38,197,69,97
1337,38,198,70,97
1336,37,198,70,98
1338,38,198,70,95
1343,38,197,70,92
1339,38,198,69,90
1364,38,198,70,92
1338,37,197,69,92
1338,37,198,70,88
1341,38,198,71,90
1338,38,197,72,93
1338,37,197,71,93
1337,38,198,71,97
1340,37,197,72,92
1344,38,197,72,98
1338,37,197,71,111
1338,38,197,72,119
1336,38,197,72,108
1335,37,198,74,101
1343,38,197,74,90
1337,37,197,74,86
1336,37,198,78,85
1341,38,197,82,95
1338,37,198,84,93
1337,38,198,83,89
1338,38,198,85,92
1344,38,197,87,100
1337,38,198,88,110
1341,38,198,87,118
1337,38,198,87,118
1376,37,197,87,113
1336,38,197,87,104
1345,37,198,87,109
1339,38,197,88,102
1338,38,198,87,110
1339,37,197,87,107
1338,38,197,88,123
1337,37,198,89,125
1345,37,198,88,121
1343,38,197,88,120
1339,37,198,88,107
1340,38,197,87,110
1337,37,198,88,101
1339,37,197,88,80
1337,38,198,88,86
1344,37,197,90,83
1385,38,198,91,95
1335,38,198,93,94
1341,37,198,93,107
1339,38,198,95,102
1336,37,198,97,99
1339,37,198,100,101
1346,37,197,100,117
1336,38,198,100,107
1346,38,198,99,94
1337,37,197,98,92
1339,38,197,100,93
1339,38,198,100,91
1345,38,197,101,92
1338,38,198,100,98
1343,38,198,101,100
1336,38,198,106,99
1360,38,197,105,97
1337,38,198,110,86
1347,38,198,112,71
1336,37,198,118,63
1338,38,197,122,61
1339,38,198,117,47
1337,38,198,115,70
1337,38,198,116,65
1347,38,198,119,67
1338,38,198,122,61
1337,38,198,121,58
1337,38,203,122,66
1338,38,208,122,49
1339,38,213,121,30
1340,37,223,121,30
1343,38,223,119,35
1344,38,223,120,14
1340,38,221,121,19
1339,38,221,120,18
1338,38,229,119,13
1337,38,230,125,16
1336,37,233,124,14
1347,37,239,123,17
1337,38,235,124,-14
1358,38,262,125,-20
1338,37,262,122,-20
1337,38,269,123,-22
1339,38,271,122,-20
1346,38,270,127,-25
1337,38,272,125,-36
1339,37,281,123,-42
1336,38,283,128,-53
1345,38,276,127,-56
1338,37,290,126,-70
1337,38,305,124,-77
1348,37,322,123,-76
1337,38,339,123,-77
1339,38,334,123,-72
1334,37,338,121,-76
1336,38,343,119,-75
1356,38,345,121,-73
1346,37,343,122,-76
1342,37,350,123,-81
1337,37,355,126,-90
1336,38,360,125,-91
1337,37,367,126,-90
1337,37,361,127,-90
1337,38,366,128,-97
1374,38,360,132,-105
1337,38,359,130,-104
1337,37,359,132,-105
1335,38,370,133,-105
1337,38,367,131,-104
1337,37,368,132,-105
1346,38,381,133,-105
1335,37,392,136,-105
1383,38,390,139,-105
1337,38,394,139,-105
1336,37,404,138,-105
1338,38,427,140,-104
1338,37,418,140,-105
1342,38,442,138,-105
1337,37,434,141,-105
1334,37,437,138,-105
1343,38,457,138,-104
1335,37,461,140,-105
1335,38,461,136,-105
1342,37,475,139,-104
1337,38,485,136,-105
1335,38,484,139,-104
1338,37,491,135,-105
1334,38,488,140,-105
1340,38,484,141,-104
1339,37,492,145,-105
1339,37,493,144,-104
1339,37,505,140,-105
1334,38,504,139,-104
1337,37,521,142,-105
1336,38,514,141,-105
1337,38,509,138,-104
1362,37,508,144,-105
1335,38,512,143,-105
1337,37,509,140,-105
1336,38,506,140,-105
1339,38,513,141,-104
1338,37,511,141,-105
1337,38,526,138,-105
1342,37,544,140,-104
1342,38,540,143,-104
1336,38,536,146,-105
1338,37,536,149,-105
1340,38,527,146,-105
1336,37,539,147,-105
1343,38,538,143,-105
1336,37,545,144,-104
1336,38,558,149,-104
1355,38,538,147,-104
1336,37,564,144,-105
1335,38,573,144,-104
1335,38,584,143,-104
1343,38,569,145,-105
1337,38,578,145,-104
1338,37,591,147,-105
1334,38,613,148,-104
1343,37,607,145,-105
1337,38,617,148,-105
1343,38,617,146,-104
1334,38,615,143,-105
1336,38,616,148,-105
1335,37,599,148,-105
1341,38,569,143,-104
1338,37,587,144,-105
1354,37,590,144,-105
1340,37,586,143,-104
1338,37,588,143,-105
1338,38,609,145,-104
1336,37,592,141,-105
1335,38,576,139,-104
1334,37,576,139,-104
1342,38,595,136,-105
1343,37,618,135,-104
1335,38,619,136,-105
1339,38,613,138,-104
1335,37,610,137,-105
1335,38,608,134,-105
1338,38,619,132,-104
1343,38,600,129,-105
1337,37,583,127,-104
1367,37,576,126,-105
1337,38,577,124,-104
1338,38,582,125,-105
1335,37,617,122,-105
1344,38,599,122,-104
1335,38,594,119,-105
1338,38,576,118,-104
1339,37,565,114,-105
1472,38,568,115,-105
1338,38,563,113,-104
1344,38,569,115,-105
1338,38,577,112,-105
1338,38,578,112,-105
1338,38,563,111,-104
1340,38,554,110,-104
1337,37,549,112,-104
1344,38,532,112,-104
1344,38,511,102,-104
1340,38,501,102,-105
1342,37,485,100,-105
1336,38,462,101,-105
1338,38,455,100,-105
1339,37,445,97,-105
1343,37,417,97,-105
1357,37,399,97,-105
1340,38,383,96,-104
1337,37,377,95,-105
1338,38,378,94,-105
1339,38,370,94,-105
1336,38,357,94,-105
1344,38,353,93,-105
1335,38,353,93,-105
1343,38,348,90,-103
1339,37,335,86,-103
1338,38,318,86,-104
1338,38,307,85,-103
1346,38,286,84,-104
1338,38,273,83,-104
1343,37,264,83,-104
1339,38,230,83,-105
1357,38,212,83,-104
1338,37,212,83,-105
1342,37,202,83,-105
1339,37,202,83,-104
1338,38,198,73,-105
1338,38,198,69,-105
1338,37,198,69,-105
1338,38,197,69,-105
1342,38,198,70,-105
1341,38,197,69,-105
1338,38,198,69,-105
1338,37,197,69,-106
1339,38,198,69,-104
1337,38,198,70,-106
1340,37,198,69,-105
1336,38,197,69,-105
1349,38,198,69,-105
1341,38,197,70,-105
1339,37,198,70,-106
1336,38,197,70,-104
1340,38,197,70,-105
1337,37,198,70,-105
1348,38,197,69,-103
1338,38,198,69,-104
1356,38,198,69,-103
1338,38,197,69,-104
1335,38,198,69,-104
1336,37,197,69,-104
1343,38,198,69,-104
1340,37,197,69,-104
1339,38,198,69,-105
1335,38,197,69,-105
1347,37,198,69,-105
1338,38,197,69,-105
1342,38,198,69,-105
1344,38,197,69,-106
1340,37,198,69,-105
1339,37,197,69,-105
1337,38,198,69,-105
1338,38,197,70,-105
1401,38,198,70,-105
1344,38,197,70,-105
1337,38,197,69,-104
1336,37,197,69,-103
1337,38,198,69,-104
1338,38,197,69,-104
1338,37,198,69,-105
1335,38,197,69,-105
1350,37,197,69,-105
1339,38,198,69,-105
1337,37,198,69,-105
1336,37,197,69,-106
1338,38,198,69,-105
1335,38,197,70,-105
1347,38,198,69,-105
1336,37,197,70,-105
1357,37,198,69,-105
1339,38,197,69,-104
1338,38,198,70,-105
1338,37,197,70,-105
1335,38,198,70,-105
1343,37,197,70,-105
1337,38,197,69,-105
1337,37,197,69,-103
1345,38,198,69,-103
1339,38,197,69,-103
1338,38,198,69,-104
1344,38,198,69,-105
1338,37,197,69,-104
1337,38,197,69,-105
1338,38,198,69,-104
1338,37,197,69,-105
1347,38,198,69,-105
1334,38,197,69,-105
1345,37,197,69,-105
1337,38,197,69,-106
1336,37,198,70,-104
1339,37,197,69,-105
1338,38,198,69,-105
1338,38,197,70,-105
1366,38,198,70,-106
1339,37,197,70,-104
1336,38,197,69,-105
1336,38,197,69,-103
1337,37,198,69,-104
1337,38,197,69,-104
1338,38,198,69,-103
1346,38,197,69,-105
1344,38,197,69,-104
1339,37,197,69,-104
1336,38,198,69,-105
1341,38,197,69,-104
1338,37,198,69,-105
1346,38,197,69,-105
1336,37,198,69,-104
1340,37,198,69,-105
1356,38,197,69,-104
1337,37,198,69,-105
1340,37,197,69,-105
1344,38,197,69,-104
1337,37,197,69,-105
1341,38,198,69,-105
1337,37,197,69,-105
1338,37,198,69,-106
1346,38,197,69,-104
1339,37,198,69,-105
1344,38,197,69,-105
1338,38,197,70,-105
